File_Name	Modern_English	Reformed_Word	Conjugations	Part_of_Speech
repair	repair	repâre,	repârs	feminine noun
repair	reparation	reparâcion	-s	feminine noun
repair	repairable	repârable	-y	adjective
repair	reparable	reprable	-y	adjective
repair	reparative	repâratif	-vly	adjective
repair	repairen	repaîre	-s -d -ing	verb
repair	repair	repaîre,	repaîrs	masculine noun
radiate	radiate	râdiait	-s -ed -ing	verb
radiate	radiate	râdiat		adjective
radiate	radiator	râdiaitor	-s	masculine noun
radiate	radiation	radiâcion	-s	feminine noun
radiate	radiative	râdiatif	-vly	adjective
radiate	radiant	râdiant		adjective, masculine noun
radiate	radiance	râdiance	-s	masculine noun
rehabilitate	rehabilitate	riabilitait	-s -ed -ing	verb
rehabilitate	rehabilitation	riabilitâction		feminine noun
rehabilitate	rehab	rihab	-s	masculine noun
roster	roster	rostre,	rostars	masculine noun
rank	rank	rânque,	râncs	adjective, masculine noun
rank	rank	rânque	rânc(s -d -ing	verb
rank	rank	rancid,	rainc	adjective
red	red	red	-ar -est	adjective
rump	rump	rompe,	romps	masculine noun
ration	ration	racion	-s	masculine noun
ration	ration	racione	-s -d -ing	verb
ration	rational	racional		adjective
ration	rationality	racionaletie	-is	feminine noun
respond	responsible	respónsible	-y	adjective
regard	regard	regarde	-s -d -ing	verb
regard	regard	regarde,	regárds	feminine noun
regard	regard	regarding		preposition
rely	rely	relîe	-s -d -yhing	verb
rely	reliable	relîable	-y	adjective
rely	reliance	relîance		feminine noun
rely	reliant	relîant		adjective
release	release	reliesse	-s -d -ing	verb
release	release	reliesse	-s	feminine noun
revenge	revenge	revenge	-s -d -ing	verb
revenge	revenge	revenge		feminine noun
review	reveue	revue,	revús	feminine noun
review	review	revue	-s -d revuing	verb
real	real	rial		adjective
real	really	rilly		adverb
real	realize	rialyse	-s -d -ing	verb
real	realizable	rialîsable		adjective
real	realization	rialisâcion	-s	feminine noun
real	reality	rialetie,	rialetis	feminine noun
real	realist	rialist	-s	masculine noun
real	realistic	rialistic	-ly	adjective
real	realism	rialism		masculine noun
regress	regress	regresse	-s -d -ing	verb
regress	regress	regresse	-s	feminine noun
regress	regression	regression	-s	feminine noun
repatriate	repatriate	repâtriait	-s -ed -ing	verb
repatriate	repatriation	repatriâcion	-s	feminine noun
raven	raven	raiven	-s	masculine noun
raven	raven	raivene	-s -d -ing	verb
zoo	zoo	zoue,	zous	masculine noun
zoo	zoology	zouologie		feminine noun
zoo	zoological	zouological		adjective
zoo	zoologist	zouologist	-s	feminine noun
zebra	zebra	zíbra	-s	masculine noun
zephyr	zephyr	zefre,	zefirs	masculine noun
zucchini	zucchini	zucchinie,	zucchinis	feminine noun
zone	zone	zone,	zoans	masculine noun
zone	zone	zone	-s -d -ing	verb
grease	grease	griess	-es	masculine noun
grease	grease	griesse	-s -d -ing	verb
grease	greasy	griessy		adjective
ghoul	ghoul	goule,	gouls	masculine noun
ghoul	ghoulish	goulisce		adjective
geezer	geezer	guiseur		masculine noun
goose	geese	gouss,	guíss	masculine noun
goose	goose	gousse	-s -d -ing	verb
goose	gosling	gásling	-s	masculine noun
gracile	gracile	gracil		adjective
ghost	ghost	goaste,	goasts	masculine noun
go	go	goe	goes uaint gaon gouing	verb
gush	gush	gosce	-s -d -ing	verb
gush	gush	gosce	-s	masculine noun
gather	gather	gaþer	gaþre(s gaþred gaþering	verb
gather	gather	gaþre,	gaþars	masculine noun
grim	grim	grim	-ly -ness	adjective
grim	grim	grimme,	grims	masculine noun
Greece	Greece	Griece		masculine noun
Greece	Greek	griec,	Griec -s	adjective, masculine noun
gravitate	gravitate	gravitait	-s -ed -ing	verb
gravitate	gravitation	gravitâcion	-s	feminine noun
gravitate	gravity	gravetie	-is	masculine noun
glue	glue	glue,	glús	masculine noun
glue	glue	glue	-s -d -ing	verb
give	give	guive	-s gâve guivan -ing	verb
give	give	guive	-s	feminine noun
guess	guess	guesse	-s -d -ing	verb
guess	guess	guess	-es	masculine noun
genie	genius	gínieus	-es	adjective, masculine noun
genie	ingenious	ingínieus	-ly	adjective
genie	genie	gínie	-is	masculine noun
gable	gable	gâble,	gâbuls	masculine noun
ghastly	ghastly	gastly		adjective
ghastly	aghast	agàst		adjective
gutter	gutter	gotre,	gotars	masculine noun
gutter	gutter	gotre	-s -d gotaring	verb
grate	grate	grâte,	grâts	masculine noun
grate	grate	grâte	-s -d -ing	verb
grate	grater	grâtor	-s	masculine noun
groat	groat	grote,	groats	masculine noun
grain	grain	grâne,	grâns	masculine noun
grain	granular	grañular		adjective
grain	granule	grañule,	grañuls	masculine noun
grain	granularity	grañularetie	-is	feminine noun
grain	engrain	engrâne	-s -d -ing	verb
grain	granary	grânerie	-is	masculine noun
guard	guard	garde	-s -d -ing	verb
guard	guard	garde,	gards	masculine noun
guard	guardian	gardian	-s	masculine noun
gander	gander	gandre,	gandars	masculine noun
gander	gander	gander	gandre(s gandred gandering	verb
grass	grass	grass	-es	masculine noun
grass	grass	grasse	-s -d -ing	verb
game	game	gâme,	gâms	masculine noun
game	game	gâme	-s -d -ing	verb
great	great	great,	greatar, greatest	adjective
great	greatly	greatly		adverb
great	great	greate,	greats	masculine noun
great	great-	great-		prefix, adjective
great	greatness	greatness		masculine noun
gopher	gopher	gófre,	gófars	masculine noun
glimmer	glimmer	glimere	-s -d glimaring	verb
glimmer	glimmer	glimere,	glimars	masculine noun
greet	greet	griete	-s -d -ing	verb
glaze	glaze	glâse	-s -d -ing	verb
glaze	glaze	glâse	-s	masculine noun
gage	gage	gâge	-s	masculine noun
gage	gagier	gâge	-s -d -ing	masculine noun
green	green	grine	grínar grinest, gríns	adjective, masculine noun
green	green	grine	-s -d -ing	verb
green	greenery	grinerie	-is	masculine noun
gown	gown	gône,	gôns	masculine noun
glitter	glitter	glitre	-s -d glitaring	verb
glitter	glitter	glitre,	glitars	masculine noun
guide	guide	guîde	-s -d -ing	verb
guide	guide	guîde,	guîds	masculine noun
guide	guidance	guîdance	-s	masculine noun
guide	guidebook	guîd	bôc, guîd beox	masculine noun
guarantee	guarantee	gairantíe	-ís	feminine noun
guarantee	guarantee	gairantíe	-s -d -ýing	verb
guarantee	guaranty	gairantie	-is	masculine noun
goal	goal	gole,	goals	masculine noun
glare	glare	glaire	-s -d -ing	verb
glare	glare	glaire,	glairs	masculine noun
gray	gray	gray	-ar -est	adjective
gray	gray	graie,	grays	masculine noun
gray	gray	graie	-s -d graying	verb
gloat	gloat	glote	-s -d -ing	verb
grocer	grocer	groçeur	-s	masculine noun
grocer	grocery	groçery,	groçeris	adjective, masculine noun
guitar	guitar	guitare,	guitárs	feminine noun
garnish	garnish	garnișe	-s -d -ing	verb
garnish	garnish	garnișe		masculine noun
garnish	garnishee	garnișíe,	garnișís	feminine noun
garnish	garnishment	garnișement	-s	masculine noun
Georgia	Georgia	Giorgia		masculine noun
Georgia	Georgian	giorgian	-s	adjective, masculine noun
grape	grape	grâpe,	grâps	masculine noun
garage	garage	garage	-s	feminine noun
garage	garage	garage	-s -d -ing	verb
gaze	gaze	gâse	-s -d -ing	verb
gaze	gaze	gâse	-s	masculine noun
guest	guest	gaiste,	gaists	masculine noun
guest	guest	gaiste	-s -d -ing	verb
gym	gymnasium	gymnâsiom	-s	feminine noun
gym	gym	gyme,	gyms	masculine noun
gym	gymnast	gymnast	-s	masculine noun
gym	gymnastic	gymnastic		adjective
gym	gymnastics	gymnastics		feminine noun
groan	groan	groane	-s -d -ing	verb
groan	groan	groane,	groans	masculine noun
goat	goat	gote,	goats	masculine noun
growl	growl	grôle	-s -d -ing	verb
growl	growl	grôle,	grôels	masculine noun
growl	growler	grôleur	-s	masculine noun
gawk	gawk	gauque	gauc(s -d -ing	verb
gear	gear	guire,	guiars	masculine noun
gear	gear	guier	guire(s guired guiering	verb
gorgeous	gorgeous	gorgeus	-ly -ness	adjective
gorgeous	gorge	gorge	-s	masculine noun
gorgeous	gorge	gorge	-s -d -ing	verb
ground	ground	grônd	-s	masculine noun
ground	ground	grônde	-s -d -ing	verb
gash	gash	gasce	-s	masculine noun
gash	gash	gasce	-s -d -ing	verb
group	group	groupe,	groups	masculine noun
group	group	groupe	-s -d -ing	verb
group	groupthink	groupþinc		masculine noun
glacier	glacier	glâciar	-s	masculine noun
gypsy	gypsy	gipsie	-is	masculine noun
glove	glove	glove	-s	masculine noun
glove	glove	glove	-s -d -ing	verb
grave	grave	graive	-s	masculine noun
grave	grave	graive	-s -d -ing	verb
grave	grave	grâve	-r -st	adjective
grind	grind	grînde	-s graund -ing	verb
grind	grind	grînde,	grînds	masculine noun
grind	ground	graund		adjective
grace	grace	grâce	-s	feminine noun
grace	grace	grâce	-s -d -ing	verb
grace	graceful	grâceful	-ly	adjective
grace	gracious	grâceus	-sly -sness	adjective
grace	disgrace	disgrâce	-s -d -ing	verb
grace	disgrace	disgrâce	-s	feminine noun
grace	grateful	grâteful	-ly	adjective
grace	gratitude	gràtitude		masculine noun
grace	gratify	gratifae	-s -d -fyhing	verb
grace	gratification	gratificâcion	-s	feminine noun
grace	ingrate	ingrât	-s	masculine noun
grace	gratuitous	gratúitus	-sly -sness	adjective
grace	gratuity	gratuetie	-is	feminine noun
gas	gas	gass	-es	masculine noun
gas	gas	gasse	-s -d -ing	verb
gas	gasoline	gassoline		feminine noun
grandparent	grandparent	grandpârent	-s	masculine noun
grandparent	grandmother	grandmaþor	-s	masculine noun
grandparent	grandfather	grandfaþor	-s	masculine noun
grandparent	grandfather	grandfaþore	-s -d -ing	verb
grandparent	grandma	gramma	-s	masculine noun
grandparent	grandpa	grampa	-s	masculine noun
gyrate	gyrate	gŷrait	-s -ed -ing	verb
gyrate	gyration	gyrâcion	-s	feminine noun
gyrate	gyre	gŷre,	gŷars	masculine noun
gyrate	gyre	gŷer	gŷre(s gŷred gŷering	verb
grimace	grimace	grimace	-s	masculine noun
grimace	grimace	grimace	-s -d -ing	verb
gnu	gnu	ganoue,	ganous	feminine noun
grammar	grammar	gramere		masculine noun
grammar	grammatical	gramatical		adjective
grammar	grammarian	gramârian	-s	feminine noun
grammar	gram	grame,	grams	masculine noun
govern	govern	governe	-s -d -ing	verb
govern	governable	governable		adjective
govern	governance	governance		masculine noun
govern	government	goverment	-s	masculine noun
govern	governor	governor,	govenor -s	masculine noun
grade	grade	grâde,	grâds	masculine noun
grade	grade	grâde	-s -d -ing	verb
grade	gradual	grad̹ual		adjective
grade	gradually	grad̹ally		adverb
grade	gradient	grâdient	-s	adjective, masculine noun
grow	grow	groe	-s grou grone grouing	verb
grow	grower	groeur	-s	masculine noun
grow	growth	groaþ	-s	masculine noun
gag	gag	gague	gag(s -d -ing	verb
gag	gag	gague,	gags	masculine noun
garbage	garbage	garbage		masculine noun
gain	gain	gaigne	-s -d -ing	verb
gain	gain	gaigne,	gaigns	masculine noun
gate	gate	gâte,	gâts	masculine noun
gate	gate	gâte	-s -d -ing	verb
guillotine	guillotine	guíotine	-s	feminine noun
guillotine	guillotine	guíotine	-s -d -ing	verb
graduate	graduate	grad̦uait		verb
graduate	graduation	grad̦uâcion	-s	feminine noun
graduate	graduate	grad̦uat	-s	masculine noun
garden	garden	gardin	-s	masculine noun
garden	garden	gardene	-s -d -ing	verb
garden	gardener	gardenor	-s	masculine noun
gnaw	gnaw	gnahe	-s -d -ing	verb
grieve	grief	griefe		masculine noun
grieve	grieve	grieve	-s -d -ing	verb
gnat	gnat	gnate,	gnats	masculine noun
glass	glass	glass	-es	masculine noun
grope	grope	groape	-s -d -ing	verb
glow	glow	gloe	-s -d glouing	verb
glow	glow	gloe,	glos	masculine noun
gut	gut	gutte	gut(s -d -ing	verb
globe	globe	globe,	glóbs	masculine noun
globe	global	glóbal		adjective
globe	globalize	glóbalyse	-s -d -ing	verb
globe	globalization	globalisâcion	-s	feminine noun
groove	groove	grouve	-s	masculine noun
groove	groove	grouve	-s -d -ing	verb
get	get	gait	-s gát gátan gaiting	verb
get	get	gait	-s	masculine noun
gull	gull	gulle,	gulls	masculine noun
gauge	gauge	gaige	-s -d -ing	verb
gauge	gauge	gaige	-s	masculine noun
good	best	gûd,	bettar, best	adjective, adverb
geyser	geyser	guysre,	guysars	masculine noun
girl	girl	gurle,	gurls	masculine noun
grudge	begrudge	begroge	-s -d -ing	verb
grudge	grudge	groge	-s -d -ing	verb
grudge	grudge	groge	-s	masculine noun
gift	gift	guifte,	guifts	masculine noun
gift	gift	guifte	-s -d -ing	verb
graze	graze	grâse	-s -d -ing	verb
gloss	glossary	glòsserie,	glòsseris	masculine noun
gloss	gloss	glòss	-es	masculine noun
gloss	gloss	glòsse	-s -d -ing	verb
farm	farm	farme,	farms	masculine noun
farm	farm	farme	-s -d -ing	verb
fluctuate	fluctuate	flucțuait	-s -ed -ing	verb
fluctuate	fluctuation	flucțuâcion	-s	feminine noun
fluctuate	flux	flux	-es	masculine noun
fungus	fungus	fongus	-es	adjective, masculine noun
fungus	fungal	fongal		adjective
furnace	furnace	fornace	-s	masculine noun
fowl	fowl	fôle,	fôels	masculine noun
fowl	fowl	fôle	-s -d -ing	verb
furnish	furniture	forniţure	-s	masculine noun
furnish	furnish	fornișe	-s -d -ing	verb
font	font	fonte,	fonts	masculine noun
flute	flute	floute,	flouts	masculine noun
flute	flute	floute	-s -d -ing	verb
fall	fall	falle	-s fell fallen -ing	verb
fall	fall	falle,	falls	masculine noun
fall	fallen	fallen		adjective
fixate	fixate	fixait	-s -ed -ing	verb
fixate	fixation	fixâcion	-s	feminine noun
fortress	fortress	fortrace	-s	masculine noun
foil	foil	fouile	-s -d -ing	verb
foil	foil	fouile,	foyels	masculine noun
foil	foil	feuile,	feuyels	masculine noun
foil	foil	feuile	-s -d -ing	verb
for	for	for		preposition
fact	fact	facte,	facs	masculine noun
fact	factual	facțual		adjective
fact	factually	facțally		adverb
fact	faction	faccion	-s	masculine noun
fact	factional	faccional	-ly	adjective
fact	factious	facceus	-ly	adjective
fact	factionalism	faccionalism		masculine noun
find	find	fînde	-s faund -ing	verb
find	find	fînd	-s	masculine noun
folk	folk	foac,	foax	masculine noun
folk	folklore	foac	lore	masculine noun
fatigue	fatigue	fatigue,	fatígs	feminine noun
fatigue	fatigue	fatigue	-s -d -ing	verb
flock	flock	floc,	flox	masculine noun
flock	flock	floche	floc(s -d -ing	verb
flock	flock	floc	-s	masculine noun
freight	freight	freihte,	freihts	masculine noun
freight	freight	freihte	-s -d -ing	verb
fat	fat	fat,	fatar, fatest	adjective
fat	fat	fate,	fats	masculine noun
fat	fatten	fatane	-s -d -ing	verb
food	food	foude,	fouds	masculine noun
food	foodie	foudie,	foudis	masculine noun
fossil	fossil	fossil	-s	masculine noun
fax	fax	faxe	-s -d -ing	verb
fax	fax	fax	-es	masculine noun
finish	finish	finișe	-s	masculine noun
finish	finish	finișe	-s -d -ing	verb
finish	final	fînal		adjective
finish	finally	fînally		adverb
finish	finality	finaletie	-is	feminine noun
finish	finale	finàlie	-is	feminine noun
frog	frog	frogue,	frogs	masculine noun
fever	fever	fívre,	fívars	masculine noun
fever	fever	fívre	-s -d -ing	verb
fever	feverish	fívrisce	-ly	adjective
fever	feverous	fívreus	-sly	adjective
famish	famish	famișe	-s -d -ing	verb
famish	famine	famin	-s	masculine noun
felt	felt	felte,	felts	masculine noun
feast	feste	fieste,	fiests	masculine noun
feast	feast	fieste	-s -d -ing	verb
feud	feud	fude,	fúds	masculine noun
feud	feud	fude	-s -d -ing	verb
fake	fake	faiche	faic(s -d -ing	verb
fake	fake	faic,	faix	masculine noun
fake	fake	faic	-ar -uest	adjective
flush	flush	flosce	-s -d -ing	verb
flush	flush	flosce		adjective
fine	fine	fîne,	fîns	masculine noun
fine	fine	fîne	-s -d -ing	verb
fine	fine	fîn	-ar -est	adjective
fine	finely	fînely		adverb
fine	fine	finé	-s	masculine noun
fear	fear	fiare,	fiars	masculine noun
fear	fear	fiare	-s -d -ing	verb
fear	fearful	fiarful	-ly	adjective
fear	fearsome	fiarsom		adjective
fear	fearless	fiarless	-ly	adjective
fear	fright	fryhte,	fryhts	masculine noun
fear	frighten	fryhtane	-s -d -ing	verb
fight	fight	foihte	-s fauht -ing	verb
fight	fight	foihte,	foihts	masculine noun
fast	fast	fast	-ar -est	adjective
fast	fast	fast		adverb
fast	fast	faste	-s -d -ing	verb
fast	fast	faste,	fasts	masculine noun
fascinate	fascinate	facinait	-s -ed -ing	verb
fascinate	fascination	facinâcion	-s	feminine noun
fare	fare	fâre,	fârs	masculine noun
fare	fare	fâre	-s -d -ing	verb
foreward	foreword	foreuord	-s	masculine noun
feather	feather	feþre,	feþers	masculine noun
flat	flatr	flat	-ar -est -s	adjective, adverb, masculine noun
flat	flatten	flatane	-s -d -ing	verb
finger	finger	fingor	-s	masculine noun
finger	finger	fingore	-s -d -ing	verb
frieze	frieze	frise	-s	masculine noun
forbid	forbid	forbuide	forbid(s forbâde forbidan -ing	verb
forget	forget	forgait	-s forgat forgatan -ing	verb
fiction	fiction	ficcion	-s -al	masculine noun
fiction	fictitious	ficticeus	-ly	adjective
fiction	fictionalize	ficcionalyse	-s -d -ing	verb
fiction	fictionalization	ficcionalisâcion	-s	feminine noun
fog	foggy	foghy		adjective
fog	fog	fogue,	fogs	masculine noun
fog	fog	fogue	fog(s -d -ing	f
follow	follow	folloe	-s -d -uing	verb
follow	follow	follo	-s	masculine noun
follow	follower	folloeur	-s	masculine noun
follow	following	follouing		preposition
flavor	flavour	flâvor	-s; flâvorful, flâvorless, flâvorsom	masculine noun, adjective
flavor	flavor	flâvore	-s -d -ing	verb
fish	fish	fisce	-s	masculine noun
fish	fish	fisce	-s -d -ing	verb
fund	fund	fond	-s	masculine noun
fund	fund	fonde	-s -d -ing	verb
fund	fundamental	fondamental	-s	adjective, feminine noun
fund	fundraiser	fondraisor,	fondraiseurs -s	masculine noun
foliage	foliage	foilage		masculine noun
fresh	fresh	fresce	-ly	adjective
female	female	fimelle,	fimels	masculine noun
feudal	feudal	feudal		adjective
feudal	feudalism	feudalism		masculine noun
favor	favor	fâvor	-s	masculine noun
favor	favorable	fâvrable	-y	adjective
favor	favor	fâvore	-s -d -ing	verb
favor	favorite	fâvrit	-s	adjective, masculine noun
found	found	fônde	-s -d -ing	verb
found	found	fônde	-s -d -ing	verb
found	foundation	fondâcion	-s	feminine noun
found	foundational	fondâcional	-ly	adjective
flourish	flourish	flourișe	-s -d -ing	verb
flourish	flourish	flourișe	-s	masculine noun
fission	fission	fission	-s	masculine noun
fission	fission	fissione	-s -d -ing	verb
feminine	feminine	feminin		adjective
feminine	femininity	femininatie	-is	feminine noun
fix	fix	fixe	-s -d -ing	verb
fix	fix	fix	-es	masculine noun
fix	fixture	fixțure,	fixțurs	masculine noun
fix	fixable	fixable		adjective
fix	fixity	fixatie,	fixatis	masculine noun
feed	feed	fiede	-s fed -ing	verb
feed	feed	fiede		masculine noun
friction	friction	friccion	-s	masculine noun
frank	frank	frânc	-ly, -s	adjective, masculine noun
frank	frank	frânque	frânc(s -d -ing	verb
fuck	fuck	fuche	fuc(s -d -ing	verb
fuck	fuck	fuc,	fux	masculine noun
fluke	fluke	flouque,	floucs	masculine noun
familiar	familiar	familiar	-ly	adjective, feminine noun
familiar	familiarity	familiaretie	-is	feminine noun
familiar	familiarize	familiaryse	-s -d -ing	verb
familiar	familiarization	familiarisâcion	-s	feminine noun
familiar	family	famly		adjective
familiar	family	famlie	-is	masculine noun
familiar	familial	famillial		adjective
February	February	Febuarie		masculine noun
fabric	fabric	fabric	-s	masculine noun
fabric	fabricate	fabricait	-s -d -ing	verb
fabric	fabrication	fabricâcion	-s	feminine noun
fate	fate	fâte,	fâts	masculine noun
fate	fate	fâte	-s -d -ing	verb
fate	fateful	fâteful	-ly -ness	adjective
fate	fatal	fâtal	-ly	adjective
fate	fatality	fâtaletie	-is	feminine noun
flower	flower	flôure,	flôuirs	masculine noun
flower	flower	flôuir	flôure(s flôured flôuiring	verb
fleece	fleece	fliesse	-s	masculine noun
fleece	fleece	fliesse	-s -d -ing	verb
function	function	fonccion	-s -less	masculine noun
function	function	fonccione	-s -d -ing	verb
function	functional	fonccional	-ly -ety -ism -ist	adjective
function	functionary	fonccionarie	-is	masculine noun
fling	fling	flingue	fling(s flong -ing	verb
fling	fling	flingue,	flings	masculine noun
fierce	fierce	fierce	fierçar fiercest	adjective
fierce	ferocious	feroceus	-sly	adjective
fierce	ferocity	feroçatie	-is	feminine noun
fierce	feral	feral		adjective
fudge	fudge	foge	-s -d -ing	verb
fudge	fudge	foge		masculine noun
floor	floor	floure,	flours	masculine noun
fleet	fleet	fliete,	fliets	masculine noun
fleet	fleet	fliete	-s -d -ing	verb
fantasy	fantasy	fantasy		adjective
fantasy	fantasy	fantasie,	fantasis	masculine noun
fantasy	fantasize	fantasyse	-s -d -ing	verb
fantasy	fantasia	fantâsia	-s	feminine noun
fantasy	fancy	fancy	fanciar fanciest	adjective
fantasy	fancy	fancie	-s -d fancying	verb
fantasy	fantastic	fantastic	-ly	adjective
fantasy	fantastic	fantastical		adjective
fantasy	fantabulous	fantàbulus	-ly	adjective
fortune	fortune	forţone,	forţons	masculine noun
fortune	fortune	forţone	-s -d -ing	verb
fortune	fortunate	forţonat	-ly	adjective
fair	fair	fair	-ar -est, -ly	adjective, adverb
fair	fairness	fairness		masculine noun
fair	fair	feire,	feirs	masculine noun
fry	fry	frîe	-s -d fryhing	verb
fry	fry	frîe,	frîs	masculine noun
fry	fried	frîed		adjective
fry	fry	frae,	fráis	masculine noun
floss	floss	flòss	-es	masculine noun
floss	floss	flòsse	-s -d -ing	verb
fetch	fetch	faic̃e	-s -d -ing	verb
factor	factor	factre,	factors	masculine noun
factor	factor	facter	factre(s factred factering	verb
factor	factorial	factórial	-ly	adjective
fable	fable	fâble,	fâbuls	masculine noun
fairy	fairy	fairie	-is	masculine noun
fairy	fay	fée,	fés	adjective, masculine noun
flutter	flutter	flotre	-s -d flotaring	verb
fraught	fraught	fraht		adjective
flay	flay	flaie	-s -d flaying	verb
fame	fame	fâme		masculine noun
fame	famous	fâmus		adjective
fame	infamous	infamus		adjective
fade	fade	fâde	-s -d -ing	verb
fade	fade	fâde,	fâds	adjective, masculine noun
force	force	force	-s	masculine noun
force	force	force	-s -d -ing	verb
firm	firm	firm	-ly	adjective
firm	firm	firme,	firms	masculine noun
firm	firm	firme	-s -d -ing	verb
frost	frost	froste,	fròsts	masculine noun
frost	frost	froste	-s -d -ing	verb
frost	frosty	fròsty		adjective
flaw	flaw	flahe,	flaus	masculine noun
flaw	flaw	flahe	-s -d -ing	verb
flash	flash	flasce	-s -d -ing	verb
flash	flash	flasce	-s	masculine noun
foot	feet	fûte,	fyte	masculine noun
foot	foot	fûte	-s -d -ing	verb
few	few	feu(e	-ar -est	adjective, masculine noun
forward	forward	foruard	-s -ly	adjective, adverb, masculine noun
forward	forward	foruarde	-s -d -ing	verb
Florida	Florida	Flórda		masculine noun
Florida	Floridian	florïdian	-s	adjective, feminine noun
forge	forge	forge	-s	masculine noun
forge	forge	forge	-s -d -ing	verb
frown	frown	frône	-s -d -ing	verb
frown	frown	frône,	frôns	masculine noun
facetious	facetious	faciceus	-ly -ness	adjective
forage	forage	forage	-s	masculine noun
forage	forage	forage	-s -d -ing	verb
forage	forager	foragior	-s	masculine noun
feat	feat	fiete,	fiets	masculine noun
feat	feature	fieţure,	fieţurs	masculine noun
feat	feature	fieţure	-s -d -ing	verb
forsake	forsake	forsâche	forsâc(s forsôc forsâcan forsâching	verb
father	father	fáþre,	fáþors	masculine noun
father	father	fáþore	-s -d -ing	verb
flame	flame	flâme,	flâms	masculine noun
file	file	fîle	-s -d fîeling	verb
file	file	fîle,	fîels	masculine noun
file	file	fîle,	fîals	masculine noun
file	file	fîle	-s -d fîaling	verb
fawn	fawn	faone,	faons	masculine noun
foreign	foreign	foren		adjective
foreign	foreigner	forenor	-s	masculine noun
future	future	fúțur(e,	fúțurs	adjective, masculine noun
flair	flair	flaire,	flairs	masculine noun
foam	foam	foame,	foams	masculine noun
foam	foam	foame	-s -d -ing	verb
foam	foamy	foamy		adjective
face	face	fâce	-s	masculine noun
face	faceless	fâceless		adjective
face	face	fâce	-s -d -ing	verb
face	facial	fâcial	-s -ly	adjective, masculine noun
face	facelift	fâcelift	-s	masculine noun
face	faceoff	fâce-off	-s	masculine noun
face	facet	facet	-s	masculine noun
face	façade	façade,	façáds	feminine noun
frontier	frontier	frontier	frontire(s frontired frontiering	verb
frontier	frontier	frontire,	frontiers	feminine noun
faze	faze	feise	-s -d -ing	verb
foul	foul	fôul(e,	fôuels	adjective, masculine noun
floe	floe	flohe,	flohs	masculine noun
fern	fern	firne,	firns	masculine noun
fuse	fusion	fúsion	-s	masculine noun
fuse	fuse	fuse	-s -d -ing	verb
fuse	fuse	fuse	-s	masculine noun
friend	friend	frende,	frends	masculine noun
friend	friend	frende	-s -d -ing	verb
fashion	fashion	facion	-s	masculine noun
fashion	fashion	facione	-s -d -ing	verb
fashion	fashionable	facionable	-ly	adjective
fashion	fashionista	facionísta	-s	feminine noun
flea	flea	flie,	flís	masculine noun
fascist	fascist	fascist	-s	adjective, masculine noun
fascist	fascism	fascism		masculine noun
fascist	faggot	fagot	-s	masculine noun
fascist	faggot	fague,	fags	masculine noun
freak	freak	friec,	friex	masculine noun
freak	freak	frieche	friec(s -d -ing	verb
freak	freaky	friechy		adjective
fit	fit	fitte	fit(s fit -ing	intransitive verb
fit	fit	fitte	fit(s -d -ing	transitive verb
fit	fit	fitt	-ar -est	adjective
fit	fit	fitte,	fits	masculine noun
forgive	forgive	forguive	-s forgâve forguivan -ing	verb
fail	fail	faile	-s -d -ing	verb
fail	fail	faile,	fails	masculine noun
fail	failure	faillure	-s	masculine noun
flour	flour	flôar		masculine noun
flour	flour	flôare	-s -d -ing	verb
flicker	flicker	flicore	-s -d -ing	verb
flicker	flicker	flicor	-s	masculine noun
form	form	forme,	forms	masculine noun
form	form	forme	-s -d -ing	verb
freeze	freeze	friese	-s frose frosen -ing	verb
freeze	freeze	friese	-s	masculine noun
fool	fool	foule,	fouls	masculine noun
fool	fool	foule	-s -d -ing	verb
frustrate	frustrate	frustrait	-s -ed -ing	verb
frustrate	frustration	frustrâcion	-s	feminine noun
fir	fir	firh	-s	masculine noun
fruit	fruit	frute,	frúts	masculine noun
fruit	fruitful	fruteful	-ness	adjective
fruit	fruitless	fruteless	-ness	adjective
fruit	fruity	frúty	-iar -iest -iness	adjective
fruit	fruition	fruicion	-s	feminine noun
fruit	frumentaceous	frumentâceus	-ly	obs
float	float	flote	-s -d -ing	verb
float	float	flote,	floats	masculine noun
float	afloat	aflót		adverb, adjective
fuchsia	fuchsia	fúcia	-s	masculine noun, adjective
flounder	flounder	flônder	flôndre(s flôndred flôndering	verb
flounder	flounder	flôndre,	flôndars	masculine noun
fodder	fodder	fodre		masculine noun
foyer	foyer	foyar	-s	masculine noun
free	free	frih	-ar -est -ly	adjective
free	free	frihe	-s -d -ing	verb
free	freedom	frídom	-s	masculine noun
fray	fray	fraie,	frays	masculine noun
fray	fray	fraie	-s -d fraying	verb
fray	fray	fraie,	frays	masculine noun
fire	fire	fŷre,	fŷars	masculine noun, interj
fire	fire	fŷer	fŷre(s fŷred fŷering	verb
fire	fiery	fîery		adjective
Friday	Friday	Frigdaie,	Frigdays	masculine noun
fly	fly	floihe	-s flou flone -ing	verb
fly	fly	flyhe,	flyhs	masculine noun
fly	fly	flyh	-ar -est	adjective
fly	flight	flyhte,	flyhts	masculine noun
fly	flight	flyhte	-s -d -ing	verb
flatter	flatter	flatre	-s -d flatering	verb
front	front	fronte,	fronts	masculine noun
front	front	fronte	-s -d -ing	verb
front	front	front		adjective
flood	flood	flod	-s	masculine noun
flood	flood	flode	-s -d -ing	verb
fond	fond	fonned		adjective
